label,major_axis_length,minor_axis_length,area,perimeter,ratio,roundness,maj_len,min_len,min_pos,min_len05,ratio_contour,hue_mean,hue_std,hue_skew,sat_mean,sat_std,sat_skew,val_mean,val_std,val_skew,int_mean,int_std,int_skew,name,location,img_no
19,0.8939,0.5281,0.3584,2.8314,0.5908,0.5618,0.8993,0.5506,0.26,0.4864,0.6123,0.1647,0.0291,11.0072,0.2551,0.1172,-0.6609,0.3743,0.0638,0.5992,71.4873,19.3574,1.403,Acer pseudoplatanus,1,3
20,0.7222,0.4818,0.2561,2.4039,0.6671,0.5569,0.7539,0.5009,0.25,0.4122,0.6644,0.167,0.0285,10.2311,0.2708,0.0935,-0.7259,0.3729,0.0651,0.7362,69.5241,16.8445,1.5504,Acer pseudoplatanus,1,3
21,0.691,0.4508,0.239,2.0353,0.6524,0.725,0.7243,0.4824,0.5,0.4636,0.666,0.1596,0.023,-0.4532,0.3037,0.1029,-1.0092,0.4215,0.0617,-0.0671,74.6682,15.2964,1.2676,Acer pseudoplatanus,1,3
22,0.6974,0.4861,0.2643,2.2243,0.697,0.6713,0.719,0.5037,0.56,0.4777,0.7006,0.1448,0.0362,7.9568,0.2418,0.1105,-0.4661,0.4058,0.0915,0.7409,77.9347,19.3115,0.9732,Acer pseudoplatanus,1,3
23,0.6634,0.4385,0.222,2.1406,0.661,0.6088,0.7089,0.4331,0.44,0.4232,0.6109,0.1608,0.0248,-1.1036,0.2838,0.1088,-0.9358,0.3769,0.0598,0.3537,69.5145,19.2542,1.3513,Acer pseudoplatanus,1,3
24,0.4762,0.319,0.1154,1.5306,0.6699,0.619,0.5141,0.3368,0.46,0.3287,0.6551,0.1416,0.0297,12.3217,0.2806,0.1246,-0.515,0.4222,0.0668,-0.272,77.1764,17.8522,1.1064,Acer pseudoplatanus,1,3
25,0.6988,0.3846,0.21,1.9846,0.5504,0.67,0.7365,0.3982,0.47,0.387,0.5407,0.1483,0.0343,7.3546,0.2653,0.114,-0.7149,0.3934,0.0734,0.6925,73.7903,19.2772,1.2751,Acer pseudoplatanus,1,3
26,0.5215,0.3411,0.1357,1.6568,0.6541,0.6212,0.5522,0.3722,0.5,0.3662,0.674,0.1578,0.025,-0.7184,0.2293,0.0987,-0.5349,0.3838,0.053,0.6472,75.9521,17.6501,1.1725,Acer pseudoplatanus,1,3
27,0.6531,0.4166,0.2112,2.0202,0.6379,0.6503,0.707,0.4239,0.52,0.4169,0.5996,0.1656,0.0246,5.6348,0.2476,0.0949,-0.9058,0.4033,0.0707,0.44,77.354,17.0217,0.9951,Acer pseudoplatanus,1,3
28,0.5727,0.3247,0.1432,1.6162,0.567,0.6889,0.6077,0.3256,0.32,0.3102,0.5358,0.1619,0.0214,-0.8271,0.2266,0.0921,-0.6301,0.3756,0.055,0.3822,74.2272,15.5214,1.2733,Acer pseudoplatanus,1,3
29,0.4632,0.3815,0.1332,1.6768,0.8236,0.5953,0.4795,0.3765,0.17,0.3557,0.7852,0.1744,0.0242,-1.5207,0.1993,0.0743,-0.6997,0.3674,0.0542,1.2429,75.349,15.6782,1.5664,Acer pseudoplatanus,1,3
30,0.6956,0.4701,0.249,2.1697,0.6758,0.6647,0.7191,0.4798,0.32,0.4339,0.6672,0.1335,0.0371,9.4851,0.2296,0.0991,-0.3877,0.3454,0.0577,1.0688,68.0422,16.3622,1.7692,Acer pseudoplatanus,1,3
31,0.5986,0.4596,0.2129,2.0071,0.7678,0.6641,0.602,0.5061,0.45,0.4296,0.8407,0.1433,0.0283,1.3408,0.1992,0.0961,-0.2542,0.3645,0.0634,0.2817,74.5712,17.5549,1.3364,Acer pseudoplatanus,1,3
